,id,commonName,borough,latitude,longitude,NbBikes,EmptyDocks,NbDocks
0,BikePoints_84,Breams Buildings, Holborn,51.515937,-0.111778,19,23,42
1,BikePoints_85,Tanner Street, Bermondsey,51.500647,-0.0786,37,3,40
2,BikePoints_86,Sancroft Street, Vauxhall,51.489479,-0.115156,22,2,24
3,BikePoints_87,Devonshire Square, Liverpool Street,51.516468,-0.079684,1,15,16
4,BikePoints_88,Bayley Street , Bloomsbury,51.518587,-0.132053,7,19,26
5,BikePoints_89,Tavistock Place, Bloomsbury,51.52625,-0.123509,14,6,20
6,BikePoints_90,Harrington Square 1, Camden Town,51.533019,-0.139174,24,2,26
7,BikePoints_91,Walnut Tree Walk, Vauxhall,51.493686,-0.111014,18,2,20
8,BikePoints_92,Borough Road, Elephant & Castle,51.498898,-0.10044,24,17,41
9,BikePoints_93,Cloudesley Road, Angel,51.534408,-0.109025,2,31,33
10,BikePoints_94,Bricklayers Arms, Borough,51.495061,-0.085814,18,3,21
11,BikePoints_95,Aldersgate Street, Barbican,51.520841,-0.09734,7,8,15
12,BikePoints_96,Falkirk Street, Hoxton,51.53095,-0.078505,26,18,44
13,BikePoints_97,Gloucester Road (North), Kensington,51.497924,-0.183834,1,18,19
14,BikePoints_98,Hampstead Road, Euston,51.525542,-0.138231,9,46,55
15,BikePoints_99,Old Quebec Street, Marylebone,51.514577,-0.158264,8,10,18
16,BikePoints_100,Albert Embankment, Vauxhall,51.490435,-0.122806,22,1,23
17,BikePoints_101,Queen Street 1, Bank,51.511553,-0.09294,6,9,15
18,BikePoints_102,Jewry Street, Aldgate,51.513406,-0.076793,6,14,20
19,BikePoints_103,Vicarage Gate, Kensington,51.504723,-0.192538,0,17,17
20,BikePoints_104,Crosswall, Tower,51.511594,-0.077121,4,34,38
21,BikePoints_105,Westbourne Grove, Bayswater,51.515529,-0.19024,11,12,23
22,BikePoints_106,Woodstock Street, Mayfair,51.514105,-0.147301,5,19,24
23,BikePoints_107,Finsbury Leisure Centre, St. Luke's,51.526008,-0.096317,2,19,21
24,BikePoints_108,Abbey Orchard Street, Westminster,51.498125,-0.132102,2,26,28
25,BikePoints_109,Soho Square , Soho,51.515631,-0.132328,2,52,54
26,BikePoints_110,Wellington Road, St. John's Wood,51.533043,-0.172528,0,17,17
27,BikePoints_111,Park Lane , Hyde Park,51.510017,-0.157275,1,24,25
28,BikePoints_113,Gloucester Road (Central), South Kensington,51.496462,-0.183289,1,18,19
29,BikePoints_114,Park Road (Baker Street), The Regent's Park,51.524517,-0.158963,10,14,24
30,BikePoints_115,Braham Street, Aldgate,51.514233,-0.073537,7,31,38
31,BikePoints_116,Little Argyll Street, West End,51.514499,-0.141423,2,18,20
32,BikePoints_117,Lollard Street, Vauxhall,51.49288,-0.114934,12,8,20
33,BikePoints_118,Rochester Row, Westminster,51.495827,-0.135478,9,5,14
