,bayType,bayCount,free,occupied,id,name,lat,lon
0,Disabled,2,1,1,CarParks_800491,Barkingside Stn ,51.58629,0.08832
1,Pay and Display Parking,45,33,12,CarParks_800491,Barkingside Stn  ,51.58629,0.08832
2,Disabled,2,1,1,CarParks_800468,Buckhurst Hill Stn  ,51.626622,0.046005
3,Pay and Display Parking,42,29,13,CarParks_800468,Buckhurst Hill Stn  ,51.626622,0.046005
4,Disabled,2,1,1,CarParks_800475,Fairlop Stn  ,51.59582,0.09148
5,Pay and Display Parking,30,18,12,CarParks_800475,Fairlop Stn  ,51.59582,0.09148
6,Pay and Display Parking,11,9,2,CarParks_800444,Greenford Stn  ,51.542131,-0.346144
7,Disabled,4,4,0,CarParks_800477,Hainault Stn  ,51.60572,0.09272
8,Pay and Display Parking,82,57,25,CarParks_800477,Hainault Stn  ,51.60572,0.09272
9,Disabled,2,1,1,CarParks_800481,Leytonstone Stn  ,51.56798,0.00754
10,Pay and Display Parking,68,55,13,CarParks_800481,Leytonstone Stn  ,51.56798,0.00754
11,Disabled,2,2,0,CarParks_800456,Perivale Stn  ,51.53747,-0.32335
12,Pay and Display Parking,28,18,10,CarParks_800456,Perivale Stn  ,51.53747,-0.32335
13,Pay and Display Parking,14,5,9,CarParks_800459,Ruislip Gardens Stn  ,51.560393,-0.411099
14,Disabled,1,1,0,CarParks_800462,South Ruislip Stn  ,51.556415,-0.398792
15,Pay and Display Parking,36,19,17,CarParks_800462,South Ruislip Stn  ,51.556415,-0.398792
16,Disabled,4,3,1,CarParks_800489,South Woodford Stn  ,51.59205,0.02726
17,Pay and Display Parking,90,65,25,CarParks_800489,South Woodford Stn  ,51.59205,0.02726
18,Disabled,3,1,2,CarParks_800493,Theydon Bois Stn  ,51.67159,0.10297
19,Pay and Display Parking,65,42,23,CarParks_800493,Theydon Bois Stn  ,51.67159,0.10297
20,Disabled,3,1,2,CarParks_800496,Wanstead Stn  ,51.5753,0.02848
21,Pay and Display Parking,19,11,8,CarParks_800496,Wanstead Stn  ,51.5753,0.02848
22,Disabled,3,3,0,CarParks_800480,Hornchurch Stn  ,51.55345,0.21807
23,Pay and Display Parking,68,37,31,CarParks_800480,Hornchurch Stn  ,51.55345,0.21807
24,Pay and Display Parking,74,1,73,CarParks_800486,Queensbury Stn  ,51.59466,-0.28564
25,Disabled,12,2,10,CarParks_800497,Wembley Park Stn  ,51.56375,-0.28215
26,Pay and Display Parking,82,29,53,CarParks_800497,Wembley Park Stn  ,51.56375,-0.28215
27,Disabled,3,2,1,CarParks_800442,Croxley Stn  ,51.648919,-0.438257
28,Pay and Display Parking,93,50,43,CarParks_800442,Croxley Stn  ,51.648919,-0.438257
29,Disabled,2,1,1,CarParks_800443,Eastcote Stn  ,51.57683,-0.39736
30,Pay and Display Parking,49,29,20,CarParks_800443,Eastcote Stn  ,51.57683,-0.39736
31,Disabled,2,1,1,CarParks_800467,Brent Cross Stn  ,51.576556,-0.2129
32,Pay and Display Parking,22,18,4,CarParks_800467,Brent Cross Stn  ,51.576556,-0.2129
33,Disabled,2,1,1,CarParks_800483,Mill Hill East Stn  ,51.60848,-0.21004
34,Pay and Display Parking,40,19,21,CarParks_800483,Mill Hill East Stn  ,51.60848,-0.21004
35,Pay and Display Parking,56,29,27,CarParks_800448,Hounslow East Stn  ,51.4733,-0.35564
36,Disabled,3,2,1,CarParks_800461,South Harrow Stn  ,51.56454,-0.35143
37,Pay and Display Parking,76,52,24,CarParks_800461,South Harrow Stn  ,51.56454,-0.35143
38,Disabled,3,2,1,CarParks_800463,Sudbury Town Stn  ,51.551219,-0.315299
39,Pay and Display Parking,82,60,22,CarParks_800463,Sudbury Town Stn  ,51.551219,-0.315299
40,Disabled,2,2,0,CarParks_800501,Harrow & Wealdstone Stn  ,51.591163,-0.334353
41,Pay and Display Parking,59,35,24,CarParks_800501,Harrow & Wealdstone Stn  ,51.591163,-0.334353
42,Disabled,1,1,0,CarParks_800503,Morden Stn  ,51.404413,-0.194517
43,Pay and Display Parking,71,30,41,CarParks_800503,Morden Stn  ,51.404413,-0.194517
