,Name,latitude,longitude,Available,Charging,Unavailable
0,1 Cambridge Road  New Malden Station ,51.402073,-0.256406,3,0,0
1,1-25 Tulse Hill Brixton Station,51.454782,-0.113358,1,2,0
2,10-6 Rossmore Road Westminster Station,51.525075,-0.164654,3,0,0
3,103 Southwark street Station ,51.506207,-0.102003,0,1,2
4,113 Upper Clapton Road Station,51.564615,-0.059948,2,1,0
5,114 Thornton Road Thornton Heath Station,51.391335,-0.118992,3,0,0
6,116 Brighton Road Purley Station,51.332135,-0.12429,3,0,0
7,12-14 Weir Road Balham Station,51.445947,-0.144534,3,0,0
8,124 Lewisham Way Station,51.472046,-0.03093,1,2,0
9,128 Roehampton Vale Station ,51.437786,-0.252305,3,0,0
10,14 Sheen House 87 Roehampton Lane Station ,51.459599,-0.243064,3,0,0
11,150 Wickham Road  Croydon Station ,51.374359,-0.050718,3,0,0
12,151 Central Road Worcester Park Station ,51.379368,-0.243497,0,1,2
13,16 Talgarth Road Station ,51.490597,-0.207703,3,0,0
14,162 The Broadway  Wimbledon Station ,51.419258,-0.198226,3,0,0
15,164 Thornton Road Croydon Station,51.390059,-0.120959,4,2,0
16,19 London Road  Sutton Station ,51.379116,-0.155439,0,1,2
17,19 Station Approach  Theydon Bois Station ,51.671658,0.102741,3,0,0
18,195 Carlisle Lane Lambeth Station,51.497106,-0.115396,1,2,0
19,196 - 198 Main Road  Biggin Hill  Westerham Station ,51.308491,0.038688,3,0,0
20,2 Central Parade  Croydon Station ,51.342533,-0.016436,3,0,0
21,2 Prentis Road Streatham Station,51.43039,-0.130183,1,2,0
22,2 Saint Dunstan's Hill Station ,51.371315,-0.209089,3,0,0
23,2-12 Windmill Row Kennington Station,51.487297,-0.111949,1,2,0
24,2-4 Telford Avenue Streatham Station,51.442172,-0.124887,0,2,0
25,2-4A Durham Street Kennington Station,51.485944,-0.11905,1,2,0
26,20 The Market Place Falloden Way Station,51.585724,-0.182869,0,2,0
27,21 Bridge Road Station,51.564362,-0.278134,1,2,0
28,21 High Street Colliers Wood (A24 Southbound) Station,51.421076,-0.175194,3,0,0
29,220 Uxbridge Road Station ,51.445683,-0.399848,0,1,2
30,232-236 Gipsy Rd West Norwood Station,51.427631,-0.086946,1,2,0
31,234 Norwood Road (A215) West Norwood Station,51.438009,-0.105696,1,2,0
32,240 Hendon Way  Hendon Central Station ,51.582024,-0.226684,0,0,3
33,252 Archway Road  Highgate Station ,51.574001,-0.14148,0,1,2
34,252 Neasden Lane Station,51.559183,-0.249509,3,0,0
35,261 Battersea Park Road Wandsworth  east of Forfar Road Station,51.475127,-0.15225,3,0,0
36,28 Shooters Hill Road Station ,51.473701,0.0187,3,0,0
37,29 Station Road Station,51.533945,-0.247547,1,2,0
38,29 West Wickham High Street  TLRN Station ,51.3759,-0.015887,0,1,2
39,302 Godstone Rd Kenley Kenley Station,51.320621,-0.089501,3,0,0
40,31-33 High Street Station ,51.365673,-0.159615,1,0,2
